Ascidias no id.,6,,2,,,,,,,,,,30,0.21,80,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03,7,0.01,,,,,,,,,,,,,,,,,134,0.50
Tunicado colonial Polyclinidae,,,,,7,0.02,15,0.13,9,0.11,6,45,,,3,0.04,7,0.11,7,0.13,9,0.23,6,0.05,25,0.11,10,0.22,12,0.06,27,0.11,27,0.14,9,0.18,150,0.33,270,0.71,4,0.08,20,0.05,32,0.24,26,0.17,13,0.29,25,0.3,,,,,9,0.13,2,0.01,1,5,3,0.01,1,0.02,1,0.02,3,0.03,3,0.01,742,54.04
Sycozoa sp. (brote de soja),,,,,,,,,,,,,,,,,2,0.01,3,0.01,,,1,5,,,5,0.01,,,,,,,1,5,4,5,11,0.02,2,0.01,4,0.01,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,34,20.07
Paramolgula gregaria (papa de mar),,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.00
>Tiburones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
Schroederichthys bivius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4,2,0.4,1,0.2,,,2,0.4,,,3,0.93,,,,,,,1,0.17,1,0.33,,,,,,,,,12,2.83
>Rayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
Bathyraja macloviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00
Rajiformes no id.,,,,,,,,,,,,,1,0.44,4,0.77,1,0.44,,,,,,,,,,,,,,,,,,,1,0.4,1,0.5,1,0.4,1,0.7,1,1.2,1,0.7,1,1.3,,,2,1.5,2,1.1,,,1,1.2,,,1,1.33,,,,,,,4,0.76,23,12.74
Rajiformes no id. (puesta),,,,,,,,,,,,,,,,,1,0.02,,,,,,,,,2,0.02,,,3,0.09,3,0.02,2,0.02,1,0.02,3,0.03,3,2,2,0.02,,,2,0.03,,,,,1,0.03,,,,,,,,,,,,,,,,,,,23,2.30
